type,release_year,runtime,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
MOVIE,1997,145,3,1,6.7,1226.0,2.316,6.6
MOVIE,1998,165,4,1,5.5,7618.0,4.112,6.0
MOVIE,1996,160,2,1,7.9,2586.0,2.828,7.5
MOVIE,1994,137,4,1,6.6,6532.0,3.806,7.1
MOVIE,1991,100,2,1,7.2,250.0,1.533,5.1
MOVIE,2000,160,3,1,6.1,7610.0,7.778,6.6
MOVIE,1999,50,2,1,8.1,78.0,1.635,6.7
MOVIE,1992,61,1,1,6.510860655737705,23439.382473841553,3.822,7.8
MOVIE,1991,30,2,1,6.0,198.0,2.297,7.0
MOVIE,1991,30,1,1,6.510860655737705,23439.382473841553,1.08,7.5
MOVIE,1998,105,5,4,7.6,4221.0,3.308,7.3
MOVIE,1993,145,3,1,6.6,356.0,1.248,4.0
MOVIE,1991,97,4,4,6.9,376.0,2.481,6.2
MOVIE,1993,149,4,1,6.1,795.0,1.763,6.7
MOVIE,1998,56,2,1,6.3,65.0,1.83,5.2
MOVIE,1993,60,2,1,7.8,172.0,3.793,5.5
MOVIE,2000,170,5,1,6.0,4213.0,2.835,6.3
MOVIE,2000,55,2,1,7.3,168.0,1.444,8.5
MOVIE,1999,106,3,2,5.9,997.0,1.12,5.9
MOVIE,1991,142,2,1,4.5,198.0,1.554,5.0
MOVIE,1994,129,1,2,6.5,1015.0,1.4,6.0
MOVIE,1999,131,4,1,4.6,4262.0,4.338,5.3
MOVIE,1995,156,3,1,5.0,249.0,2.045,7.5
MOVIE,1998,30,1,1,6.510860655737705,23439.382473841553,1.89,5.2
MOVIE,1991,100,3,1,5.5,345.0,2.713,6.0
MOVIE,1999,118,1,1,6.510860655737705,23439.382473841553,1.396,7.6
MOVIE,1991,162,2,2,5.8,68.0,1.323,5.0
SHOW,2008,48,3,1,9.5,1775990.0,353.848,8.79
SHOW,2002,58,4,1,8.7,117240.0,45.549,7.4
SHOW,2010,46,5,1,8.2,956604.0,597.277,8.1
SHOW,2005,45,5,1,8.4,434081.0,388.093,8.278
MOVIE,2007,126,3,1,7.1,305346.0,37.369,6.9
MOVIE,2004,97,1,2,7.1,375975.0,57.235,7.2
SHOW,2010,57,2,1,8.6,9856.0,5.581,7.7
SHOW,2006,25,2,1,8.3,122698.0,48.88,7.4
SHOW,2010,58,2,1,8.5,25485.0,51.118,8.1
SHOW,2009,23,1,1,8.5,257221.0,42.357,8.0
MOVIE,2002,141,2,1,8.1,952602.0,72.321,8.0
SHOW,2005,49,2,1,7.6,299165.0,803.786,8.252
SHOW,2003,28,1,1,8.7,300445.0,30.131,8.043
SHOW,2007,44,2,1,8.4,16337.0,74.638,8.3
SHOW,2004,49,3,1,7.8,21531.0,10.922,7.7
MOVIE,2003,88,2,1,7.0,229171.0,17.131,6.577
SHOW,2003,43,5,1,7.8,143846.0,251.622,7.6
SHOW,2005,24,5,1,9.3,303666.0,56.915,8.7
MOVIE,2004,95,1,1,7.1,353118.0,20.606,6.7
SHOW,2006,43,2,1,8.7,65199.0,19.681,8.1
SHOW,2006,25,2,1,8.5,149586.0,31.031,8.108
MOVIE,2010,148,4,2,8.8,2294231.0,108.284,8.4
SHOW,2008,22,5,1,8.3,14996.0,41.509,8.705
MOVIE,2006,151,4,1,8.5,1296244.0,33.795,8.2
SHOW,2005,25,4,1,6.1,15808.0,53.044,8.2
MOVIE,2010,103,2,2,6.8,303820.0,99.129,6.929
MOVIE,2005,117,3,1,6.5,444229.0,36.989,6.474
SHOW,2006,24,6,1,9.0,309445.0,120.545,8.664
